عن	על
النص	התסריט
السيارات	מכוניות
يصبح	הופך
يصبح	להפוך
الكاثوليكية	קתולי
الكاثوليكية	קתוליות
الاستقلال	עצמאות
دخول	כניסה
دخول	נכנסים
الجامعات	אוניברסיטאות
ويسكونسن	ויסקונסין
بذرة	זרע
الحاسوب	מחשב
الحيوية	חיוניות
القيادة	מנהיגות
القيادة	פיקוד
رياضة	ספורט
روبرت	רוברט
معارك	קרבות
الحقوق	זכויות
المكسيك	מקסיקו
خلايا	תאים
كلمات	מילים
كلمات	מלים
مراحل	שלבים
الطعام	מזון
العائلة	משפחה
معايير	קריטריונים
معايير	סטנדרטים
طويل	גבוה
طويل	ארוך
الدكتوراه	דוקטורט
كولومبيا	קולומביה
كولومبيا	קולומביאני
انتخابات	בחירות
نشرت	פורסם
قياس	מדידת
قياس	מדידה
علمية	מדעי
الاتصالات	תקשורת
الاتصالات	קשרים
بالرغم	למרות
المجموعات	אוספים
المجموعات	קבוצות
مسلمون	מוסלמים
دراما	דרמה
مساعدة	עזרה
التقنية	טכניים
التقنية	טק
التقنية	טכניקה
التقنية	טכנולוגיה
الجلد	עור
الجلد	העור
ماري	מרי
برشلونة	ברקה
برشلونة	ברצלונה
نشاط	פעילות
ليلة	לילה
الجنس	מין
مجالات	דומיינים
مجالات	אזורים
الحقيقة	האמת
كيلومتر	קילומטר
كمال	שלמות
كمال	כמאל
حمض	חומצה
انتشار	מתפשט
انتشار	התפשטות
دكتور	דוקטור
بدء	התחלה
بدء	מתחילה
مساهمات	תרומות
البابا	אפיפיור
طبقة	שכבה
النتائج	השלכות
النتائج	תוצאות
النتائج	ממצאים
النتائج	מסקנות
الفكر	מחשבה
سيرة	ביוגרפיה
ميداليات	מדליות
تفسير	הסבר
تفسير	פירוש
تفسير	לפרש
نص	טקסט
نص	התסריט
كيلو	קילו
جامعات	אוניברסיטאות
سيف	חרב
شاعر	משורר
معنى	משמעות
موسوعة	אנציקלופדיה
مواضيع	נושאים
ميناء	נמל
قصير	קצר
سم	רעל
موسكو	מוסקבה
المغربي	מרוקאי
ثدييات	יונקים
ماريا	מריה
مشاكل	צרה
مشاكل	בעיות
سلاح	נשק
رومانيا	רומניה
ذهب	נעלמה
ذهب	זהב
النمسا	אוסטריה
الرياضة	ספורט
فلوريدا	פלורידה
السياحة	תיירות
الدفن	קבורה
اليهودية	יהודייה
اليهودية	יהדות
الوصلات	קישורים
تفاعل	תגובה
تفاعل	אינטראקציה
بلجيكا	בלגיה
بلجيكا	בלגי
رسمية	רשמי
اللاتينية	לטינית
الصينية	חרסינה
الصينية	מגש
الصينية	סינית
محرك	מנוע
الحاجة	צורך
مقدمة	מבוא
نجوم	כוכבים
الجنود	חיילים
غرفة	חדר
العمال	עובדים
الفلسفة	פילוסופיה
برلين	ברלין
متلازمة	תסמונת
الباب	הדלת
المشاكل	צרות
المشاكل	צרה
المشاكل	בעיות
احمد	אחמד
الدراجات	אופניים
حذف	למחוק
الكربون	פחמן
العوامل	גורמים
مستويات	רמות
الفعل	פועל
الفعل	מערכה
المنتجات	המוצר
المنتجات	מוצרים
طرابلس	טריפולי
المسلمون	מוסלמים
بولندا	פולין
مسافة	מרחק
محطات	תחנות
ساعات	שעות
ساعات	שעונים
باكستان	פקיסטן
المساعدة	עזרה
بنية	בראון
بنية	מבנה
الكيمياء	כימיה
صحة	בריאות
صحة	תוקף
الدعم	תמיכה
الدعم	תגבורת
النقاط	נקודות
النقاط	קרדיטים
المسيحيين	נוצרים
التركي	טורקית
الدماغ	מוח
متنوعة	שונות
متنوعة	מגוון
ضعف	חולשה
ضعف	מכפיל
المستخدمين	משתמשים
المكتبة	ספריה
برمجيات	תוכנה
سرطان	סרטן
الصحف	עיתונים
الصحف	ניירות
عبيد	עבדים
طبيب	דוקטור
فلسفة	פילוסופיה
التفاعل	אינטראקציה
التفاعل	האירוסין
الهجرة	הגירה
المعارك	קרבות
الجيل	דור
البحوث	מחקר
فنلندا	פינלנד
جوزيف	יוסף
شجرة	עץ
المنظمات	ארגוני
المنظمات	ארגונים
الذهب	זהב
ربيع	אביב
كيمياء	כימיה
منتجات	המוצר
منتجات	מוצרים
الحماية	הגנה
ثمانية	שמונה
السرطان	סרטן
السطح	משטח
السطح	גג
جدة	סבתא
زراعة	לשתול
زراعة	חקלאות
زراعة	השתלה
نجاح	הצלחה
عوامل	גורמים
الوحدات	יחידות
تقييم	דירוג
تقييم	הערכת
تقييم	הערכה
طوكيو	טוקיו
بلدان	מדינות
الاجتماع	פגישה
بيان	המניפסט
بيان	הצהרה
كاليه	קאלה
النصوص	טקסטים
نعم	כן
الكهرباء	חשמל
الخلية	תא
حقيقة	עובדה
العنف	אלימות
المطلق	מוחלט
التدريس	הוראה
يتضمن	כולל
ركلات	בעיטות
تركي	טורקית
يشمل	כולל
وزن	משקל
الجنرال	כללי
الشهيرة	מפורסם
يعقوب	יעקב
المواطنين	אזרחים
كوبا	קובה
طارق	טארק
طارق	טאריק
سلامة	בטיחות
مباشر	לחיות
مباشر	ישיר
داكوتا	דקוטה
كثافة	עוצמה
كثافة	צפיפות
الجودة	איכות
تقنيات	טכניקות
مؤسسات	מוסדות
حمزة	חמזה
كيبك	קוויבק
العصبي	עצבני
الهاتف	הטלפון
الهاتف	טלפון
الهواية	תחביב
فيليب	פיליפ
ثالث	שלישי
بنك	בנק
يدخل	נכנס
ملكة	מלכה
اللاعبين	שחקנים
ذاتية	סובייקטיבי
الغذاء	מזון
البريد	דואר
معبد	מקדש
حاجة	צורך
جودة	איכות
الارتفاع	גובה
جوجل	גוגל
ضوء	אור
الكبد	כבד
العظام	עצמות
السلوك	התנהגות
السلوك	גישה
مسار	רצועה
مسار	נתיב
البصرة	בצרה
طبقات	שכבות
ايضا	גם
غاز	גז
فندق	מלון
المباشر	ישיר
عالي	גבוה
خصوصا	במיוחד
رسمي	רשמי
الدنمارك	דנמרק
النجاح	הצלחה
القصص	סיפורים
طن	טון
الجهد	מאמץ
الجهد	מתח
الكنائس	כנסיות
يتطلب	דורש
المحرك	מנוע
حركات	תנועות
جنود	חיילים
مينيسوتا	מינסוטה
جيل	דור
اضطراب	מערבולת
اضطراب	הפרעה
المتحركة	אנימציה
الخلفية	רקע
شيكاغو	שיקגו
الغابات	יער
الغابات	יערות
الشعراء	משוררים
الطلبة	סטודנטים
البيض	ביצים
الجغرافية	גאוגרפיה
سجن	כלא
صفوف	שיעורים
صفوف	שורות
الكويكبات	אסטרואידים
جميلة	יפה
جميلة	מקסים
طاقم	צוות
الديانة	דת
حصار	מצור
حصار	הסגר
المقاطعات	מחוזות
الهيدروجين	מימן
نيسان	אפריל
نيسان	ניסן
فيروس	נגיף
زهرة	פרח
زهرة	זהרה
سوري	סורי
السلاح	נשק
تجارة	מסחר
تجارة	החלפה
التعريف	הגדרה
التعريف	הזדהות
المنافسة	תחרות
المسافة	מרחק
كميات	כמויות
سد	סכר
سد	סיד
كارلوس	קרלוס
رسائل	אותיות
رسائل	הודעות
الفئة	קטגוריה
الفئة	רמה
السوبر	סופר
سيناريو	תסריט
سيناريو	תרחיש
سيناريو	התסריט
القواعد	כללים
القواعد	דקדוק
المعادن	מטאל
المعادن	מינרלים
المعادن	מתכות
المعادن	מינרל
استقلال	עצמאות
هيكل	מבנה
الحشرات	חרקים
الحشرات	באגים
المساجد	מסגדים
المجر	הונגריה
باي	ביי
باي	מפרץ
البرمجيات	תוכנה
الفارسية	פרסית
الفارسية	פרסי
حسني	חוסני
المشترك	מנוי
كويكب	אסטרואיד
تكنولوجيا	טכנולוגיה
محمية	מוגן
فترات	מרווחים
فترات	תקופות
الوعي	התודעה
الوعي	מודעות
الباحثين	מחפשי
الباحثين	חוקרים
كوميديا	קומדיה
خيال	דמיון
خيال	פנטזיה
خيال	בדיוני
منشورات	פרסומים
التطبيقات	יישומים
التطبيقات	אפליקציות
نصوص	טקסט
نصوص	טקסטים
وثيقة	מסמך
عشرات	עשרות
هونغ	תלה
هونغ	הונג
الخرطوم	חרטום
مايكروسوفت	מיקרוסופט
كنتاكي	kfc
كنتاكي	קנטקי
الزمان	זמן
الغزو	פלישה
الغزو	כיבוש
دراجات	אופניים
الصيد	דיג
الصيد	ציד
خلاف	מחלוקת
الاشتراكية	הסוציאליסטית
الاشتراكية	סוציאליזם
الطبقات	שכבות
الصناعات	תעשיות
اجتماع	פגישה
كردستان	כורדיסטן
الخيرية	צדקה
الرباط	רבאט
الرباط	תחרה
كليات	מכללות
كليات	הפקולטות
النظم	מערכות
النسيج	טקסטיל
النسيج	בד
النسيج	מרקם
جريمة	פשע
الجريمة	פשע
شكرا	תודה
بيضاء	לבן
المعنى	משמעות
جهد	מאמץ
جهد	מתח
تطبيقات	יישומים
تطبيقات	אפליקציות
حميد	חמיד
مائة	מאה
ياسين	יאסין
تشخيص	אבחון
كونغ	קונג
الكمبيوتر	מחשב
التكنولوجيا	טכנולוגיה
مصنع	מפעל
مصنع	היצרן
واجهة	ממשק
واجهة	קדמי
التمييز	אפליה
التمييز	הבחנה
غزو	פלישה
غزو	כיבוש
خلية	תא
خلية	הכוורת
طرح	לחסר
السياسات	מדיניות
السياسات	פוליטיקה
سمير	סמיר
ريو	בריו
ريو	ריו
المواضيع	נושאים
الحركات	תנועות
الويب	אינטרנט
كتابات	כתבים
الروايات	רומנים
الملفات	קבצים
زياد	זיאד
اسكتلندا	סקוטלנד
الف	אלף
الدخل	הכנסה
متوسطة	בינוני
تشريح	אנטומיה
جملة	בסיטונאות
جملة	ביטוי
جملة	משפט
شاشة	מסך
الممثلة	שחקנית
فيتنام	וייטנאם
كرواتيا	קרואטיה
بنات	בנות
نبراسكا	נברסקה
الصوديوم	נתרן
ماذا	מה
التحقيق	חקירה
السنين	שנים
الضباط	קצינים
حارس	שומר
الرسائل	אותיות
الرسائل	הודעות
سلوك	התנהגות
سلوك	גישה
ضباط	קצינים
داء	מחלה
ماليزيا	מלזיה
تمثال	פסל
سانتا	סנטה
الخشب	עץ
دوق	דוכס
رياض	ריאד
مهندس	מהנדס
دعوة	הזמנה
بوينغ	בואינג
مغربي	מרוקאי
البوسنة	בוסני
البوسنة	בוסניה
كانساس	קנזס
مسعود	מסעוד
ديزني	דיסני
فيينا	וינה
المراحل	שלבים
محاولات	ניסיון
محاولات	ניסיונות
بلغاريا	בולגריה
حزيران	יוני
هتلر	היטלר
المركبة	הרכב
النسبة	פרופורציה
النسبة	יחס
السويس	סואץ
روك	רוק
موجة	גל
تدريس	הוראה
الكونغو	קונגו
محور	ציר
محور	האב
كولورادو	קולורדו
الصومال	סומליה
المنازل	בתים
المتوقع	צפוי
فرانسيسكو	פרנסיסקו
الجماعات	קבוצות
مهدي	מהדי
مهدي	מאדי
سياسات	מדיניות
متطلبات	דרישות
الاحترافية	מקצועיות
التعرض	חשיפה
مغامرات	הרפתקאות
مغامرات	הרפתקה
عدنان	עדנאן
نابليون	נפוליאון
الروابط	קישורים
مواسم	עונות
تركيز	ריכוז
تركيز	להתרכז
صواريخ	טילים
صواريخ	רקטות
الوثائق	מסמכים
الوثائق	התיעוד
حادثة	תקרית
حادثة	תאונה
النحاس	נחושת
النحاس	פליז
جنوبي	דרומי
جنوبي	דרום
دالة	פונקציה
التغذية	תזונה
المعارف	מכרים
المعارف	ידע
نينتندو	נינטנדו
قبول	מקבל
قبول	קבלה
قبول	לקבל
ملفات	קבצים
العائلات	משפחות
سوبر	סופר
معادلة	משוואה
الاعتراف	הודאה
الاعتراف	הכרה
البرمجة	תכנות
عائلات	משפחות
لسان	לשון
لسان	הלשונית
المهاجرين	מהגרים
فاروق	פארוק
المخدرات	סמים
برمجة	תכנות
الرئة	ריאה
صقلية	סיציליה
صقلية	סיציליאני
الصلبة	מוצק
قارة	יבשת
جرائم	פשעים
البروتين	חלבון
نواة	גרעין
قصائد	שירים
الذرة	תירס
الذرة	אטום
عقود	חוזים
عقود	עשורים
ميونخ	מינכן
حادث	תקרית
حادث	תאונה
التنفس	נשימה
عشيرة	שבט
شاطئ	חוף
قبر	קבר
جوانب	היבטים
جوانب	צד
لحم	בשר
البيان	המניפסט
البيان	הצהרה
تطورت	התפתח
توم	טום
الجيوش	צבאות
قشتالة	קסטיליה
فعالية	יעילות
فعالية	אפקטיבי
جواز	דרכון
حاسوب	מחשב
تقارير	דוחות
ستيفن	סטיבן
الكالسيوم	סידן
المنيا	מיניה
ياسر	יאסר
قرون	מאות
قرون	קרניים
عمق	עומק
عمق	עמוקים
الهوية	הזדהות
الهوية	זהות
عائشة	עיישה
الثقة	אמון
الثقة	לבטוח
منفصلة	דיסקרטי
منفصلة	נפרד
المساهمة	תרומה
التوزيع	הפצה
الخليل	חברון
الخليل	החבר
البطن	כרס
البطن	בטן
كفاءة	יעילות
صيد	ציד
القذافي	קדאפי
قادر	מסוגל
توسيع	הרחבה
توسيع	להתרחב
تركية	טורקית
السادات	סאדאת
فيكتوريا	ויקטוריה
ثلاثين	שלושים
تايلاند	תאילנד
تايلاند	תאילנדי
الفساد	שחיתות
حاتم	חאתם
العملة	מטבע
الكورية	קוריאנית
تكاليف	עלויות
الموظفين	סגל
الموظفين	עובדים
بوسطن	בוסטון
الطائفة	כת
بحوث	מחקר
دانيال	דניאל
الصواريخ	טילים
الصواريخ	רקטות
نيجيريا	ניגריה
الزجاج	זכוכית
تخزين	אחסון
تخزين	חנות
الجليد	קרח
الحكومات	ממשלה
الحكومات	ממשלות
الاستثمار	השקעה
الاستثمار	תשקיע
مفاهيم	מושגים
الرصاص	קליעים
الرصاص	עופרת
البترول	נפט
بلال	בילאל
الفلبين	הפיליפינים
بندر	בנדר
الطفولة	ילדות
ماجستير	מאסטר
الذيل	זנב
الذيل	פלי
نابلس	שכם
طلال	טלאל
مساء	ערב
مساء	צהריים
القمح	חיטה
الطوائف	כתות
شك	ספק
ابريل	אפריל
قومية	לאומיות
السنوي	שנתי
السنوي	השנתי
منافسة	תחרות
مجلات	מגזינים
يصف	מתאר
نسبيا	יחסי
نسبيا	יחסית
القرارات	החלטות
السرية	סודיות
السرية	חשאיות
صحف	עיתונים
صحف	ניירות
اختراع	המצאה
التغيرات	שינויים
فريدريك	פרדריק
البرتغالي	פורטוגזית
الساق	רגל
النازية	נאציזם
النازية	נאצית
صحراء	מדבר
التقارير	דוחות
ناقش	דנו
ناقش	לדון
الفحم	פחם
الجيزة	גיזה
المعلمين	מורים
ليفربول	ליברפול
الثدييات	יונקים
توليد	דור
توليد	יוצר
دم	דם
الغازات	גזים
معدات	החומרה
معدات	ציוד
التنفيذ	יישום
التنفيذ	ביצוע
التسويق	שיווק
العبيد	עבדים
التشخيص	אבחון
لينكس	לינקס
لينكس	לינוקס
هواتف	טלפונים
باولو	פאולו
كونان	קונאן
بنغازي	בנגאזי
البول	שתן
الرموز	סמלים
الرموز	אסימונים
الرموز	קודים
القوالب	תבניות
جراء	גורים
العبرية	עברית
نيوتن	ניוטון
شهور	חודשים
موريتانيا	מאוריטניה
الشريان	עורק
قرارات	החלטות
عرش	כס
الفيروسات	וירוסים
عمال	עובדים
بيرو	פרואני
بيرو	פרו
مفتاح	מפתח
زواج	חתונה
راديو	רדיו
المريخ	מאדים
خبر	חדשות
الاستقرار	יציבות
اقتراح	מציע
اقتراح	הצעה
مشهورة	מפורסם
دينار	דינר
النصب	אנדרטה
بريد	דואר
التغييرات	שינויים
كريس	כריס
الشيوعية	הקומוניסטית
الشيوعية	קומוניזם
غرناطة	גרנדה
شائعة	שכיח
شائعة	שמועה
ضحايا	קורבנות
فكر	לחשוב
بروتوكول	פרוטוקול
جغرافية	גיאוגרפי
جغرافية	גאוגרפיה
سلاسل	שרשראות
حمدي	חמדי
تمييز	אפליה
تمييز	הבחנה
فوكس	שועל
البيوت	בתים
الشطرنج	שחמט
التوسع	מתרחב
التوسع	להתרחב
التوسع	הרחבה
مختبر	מעבדה
كيم	קים
الطائف	טאיף
حلول	פתרונות
حيفا	חיפה
منظور	פרספקטיבה
ملابس	בגדים
الثقافات	תרבויות
الفقر	עוני
تجاوز	לעקוף
تجاوز	חרג
مناقشة	דיון
مناقشة	לדון
مراكش	מרקש
المغول	מונגולים
المغول	המונגולי
هوية	זהות
سوني	סוני
المشكلات	בעיות
الجوانب	היבטים
الجوانب	צד
مجالس	מועצות
مجالس	לוחות
سيدني	סידני
وثائق	מסמכים
وثائق	התיעוד
الملح	מלח
فنزويلا	ונצואלה
تغطية	כיסוי
طلبات	בקשות
طلبات	פקודה
سنين	שנים
الكليات	מכללות
الكليات	הפקולטות
الميكانيكية	מכני
اندلاع	התפרצות
بيوت	בתים
مؤخرا	לאחרונה
القارئ	קונטיננטל
القارئ	קורא
الدبلوماسية	דיפלומטי
الدبلوماسية	דיפלומטיה
الذرية	אטומי
الذرية	צאצאים
جنرال	כללי
وكيل	פרוקסי
وكيل	סוכן
المدنيين	אזרחים
ينتهي	מסתיים
الجينات	גנים
حراس	שומרים
فئات	קטגוריות
بيير	פייר
حصان	סוס
اللاجئين	פליטים
القصير	קצר
القصير	שורטי
المتظاهرين	המפגינים
المتظاهرين	מפגינים
القدماء	עתיקים
القدماء	הקדמונים
مستشار	יועץ
البروتينات	חלבונים
استاد	אצטדיון
الكلى	כליות
الكلى	כליה
المستويات	רמות
الفرات	פרת
الجنين	העובר
السلامة	בטיחות
تينيسي	טנסי
مقعد	הספסל
مقعد	מושב
المدة	משך
الباحثون	חוקרים
منصة	פלטפורמה
فصول	שיעורים
فصول	פרקים
منى	מונה
يدعم	תומך
نادال	נדאל
القادم	הבא
مشهور	פופולרי
مشهور	מפורסם
بشار	בשאר
كتائب	גדודים
القضاة	שופטים
موناكو	מונקו
اللاذقية	לטקיה
الصلاحية	תוקף
قرطبة	קורדובה
النبلاء	אצילים
التجار	סוחרים
التجار	סוחרי
الجملة	בסיטונאות
الجملة	משפט
مضيق	מצר
النمساوية	אוסטרי
المجلات	מגזינים
نابولي	נפולי
نابولي	נאפולי
الدقة	דיוק
الدقة	הדיוק
سائل	נוזל
سائل	נוזלי
ميشيل	מישל
رباعي	מרובע
الشاي	תה
ماريو	מריו
القصور	ארמונות
العقود	חוזים
التنوع	גיוון
التنوع	מגוון
مطر	גשם
فيتامين	ויטמין
دوغلاس	דאגלס
سفراء	שגרירים
العسل	דבש
مانويل	מנואל
بروسيا	פרוסיה
