and	そして
interview	インタビュー
letter	手紙
letter	letter
letter	レター
gallery	ギャラリー
hits	ヒット
jazz	ジャズ
protection	保護
situation	状況
situation	シチュエーション
reviews	レビュー
classical	クラシカル
classical	クラシック
classical	古典
lady	レディ
netherlands	オランダ
reports	レポート
reports	報告
influence	影響力
influence	影響
address	アドレス
address	住所
linear	リニア
linear	線形
machine	マシン
machine	マシーン
machine	機械
domain	ドメイン
types	種類
sydney	シドニー
distance	距離
boys	boys
boys	男の子
toronto	トロント
infantry	歩兵
steve	スティーブ
steve	スティーヴ
philadelphia	フィラデルフィア
der	デア
nationality	国籍
scene	現場
scene	シーン
scene	場面
titles	役職
titles	称号
titles	タイトル
berlin	ベルリン
conditions	条件
churches	教会
santa	サンタ
imperial	インペリアル
genre	ジャンル
reporting	レポート
reporting	報告
sweden	スウェーデン
heritage	遺産
tag	タグ
doctor	医師
doctor	ドクター
doctor	先生
doctor	医者
rivers	河川
crime	犯罪
liberal	リベラル
bob	ボブ
bob	bob
publishing	出版
publishing	パブリッシング
die	die
die	死ぬ
comics	漫画
comics	コミック
contributions	貢献
lieutenant	警部補
lieutenant	中尉
initial	イニシャル
initial	頭文字
environment	環境
bus	バス
direction	方向
guide	ガイド
resources	リソース
resources	資源
affairs	事務
animals	動物
levels	レベル
jim	ジム
cambridge	ケンブリッジ
composer	作曲家
atlantic	アトランティック
atlantic	大西洋
jackson	ジャクソン
rose	ローズ
rose	ロゼ
rose	バラ
rose	rose
rose	薔薇
andrew	アンドリュー
info	情報
fame	名声
travel	旅行
smaller	小さい
exchange	交換
actions	アクション
agreement	協定
agreement	合意
translation	翻訳
kansas	カンザス
residents	住民
murder	殺人
avoid	避ける
tony	トニー
wars	戦争
wars	ウォーズ
impact	インパクト
impact	衝撃
households	世帯
honor	名誉
deep	ディープ
deep	深い
arthur	アーサー
elizabeth	エリザベス
maryland	メリーランド
zone	ゾーン
zone	zone
solo	ソロ
choice	選択
choice	チョイス
engineer	エンジニア
farm	農場
farm	ファーム
wilson	ウィルソン
secret	秘密
poet	詩人
poet	歌人
orchestra	オーケストラ
versions	バージョン
documentary	ドキュメンタリー
yellow	イエロー
yellow	黄色
freedom	freedom
freedom	自由
norway	ノルウェー
taylor	テイラー
quarter	クォーター
quarter	四半期
independence	独立
rome	ローマ
effort	努力
models	モデル
institutions	機関
facilities	施設
facilities	設備
target	ターゲット
stack	スタック
programming	プログラミング
railroad	鉄道
concert	コンサート
loan	ローン
loan	融資
sub	サブ
painting	絵画
price	プライス
price	対価
price	値段
price	価格
leadership	リーダーシップ
message	メッセージ
message	伝言
headquarters	本社
headquarters	本部
headquarters	司令部
cemetery	墓地
copies	コピー
copies	部数
fox	キツネ
philippines	フィリピン
share	共有
share	シェア
maria	マリア
maria	マリヤ
disease	病気
disease	疾病
sections	セクション
philosophy	哲学
labour	分娩
labour	労働
logo	ロゴ
yard	ヤード
economy	経済
mile	マイル
classic	クラシック
classic	古典
classic	classic
harry	ハリー
density	密度
ben	ベン
kentucky	ケンタッキー
theme	テーマ
moscow	モスクワ
starring	主演
tennis	テニス
percent	割合
percent	パーセント
logs	ログ
convention	コンベンション
convention	大会
ring	リング
ring	指輪
brian	ブライアン
universities	大学
yards	ヤード
agent	エージェント
agent	代理人
animal	アニマル
animal	動物
combat	戦闘
palace	宮殿
card	カード
understanding	理解
stub	スタブ
wrestling	レスリング
apparently	どうやら
battalion	大隊
existence	存在
louisiana	ルイジアナ
lewis	ルイス
melbourne	メルボルン
austria	オーストリア
brigade	旅団
risk	リスク
labor	分娩
labor	労働
steel	スチール
steel	鋼鉄
wild	ワイルド
wild	野生
plus	プラス
classes	クラス
theater	劇場
theater	シアター
theater	演劇
roles	役割
chance	チャンス
regions	リージョン
regions	地域
guidelines	指針
guidelines	ガイドライン
simon	シモン
simon	サイモン
lyrics	歌詞
lyrics	作詞
christmas	クリスマス
greece	ギリシャ
journalist	ジャーナリスト
constitution	体質
constitution	憲法
dates	日付
pilot	パイロット
relatively	比較的
manchester	マンチェスター
directors	取締役
northwest	北西
visit	訪問
walter	ヴァルター
walter	ウォルター
ideas	アイデア
ideas	アイディア
crown	クラウン
anderson	アンダーソン
weapons	武器
weapons	兵器
switzerland	スイス
squad	分隊
multi	マルチ
dynasty	王朝
cold	風邪
cold	コールド
cold	冷たい
cold	寒い
sam	サム
albert	アルベルト
albert	アルバート
vietnam	ベトナム
fans	ファン
arena	アレーナ
arena	アリーナ
roads	道路
core	コア
core	core
tools	ツール
tools	道具
colonel	大佐
weak	弱い
brand	ブランド
brand	銘柄
supply	サプライ
supply	供給
tradition	伝統
task	タスク
howard	ハワード
southeast	東南
southeast	南東
sunday	日曜日
discuss	話し合う
discuss	ディスカッション
stats	統計
climate	気候
topics	トピック
broken	壊れた
singapore	シンガポール
license	免許
license	ライセンス
visual	ビジュアル
estimated	推定
sexual	性的
fast	速い
fast	高速
properties	プロパティ
properties	属性
exhibition	展示
fashion	ファッション
orange	orange
orange	オレンジ
argentina	アルゼンチン
facility	施設
egypt	エジプト
patrick	パトリック
anthony	アンソニー
blues	ブルース
arab	アラブ
trains	電車
trains	列車
begin	始める
begin	開始
begin	begin
database	データベース
studios	スタジオ
accept	受け入れ
accept	受け入れる
accept	承認
warning	警報
warning	警告
alan	アラン
objects	オブジェクト
diego	ディエゴ
coaches	コーチ
houston	ヒューストン
reality	リアリティ
reality	現実
broadcasting	放送
broadcasting	ブロードキャスト
adam	アダム
belgium	ベルギー
respect	尊敬
respect	尊重
respect	リスペクト
respect	敬意
detroit	デトロイト
colleges	カレッジ
colleges	大学
maximum	最大
maximum	maximum
painter	画家
hamilton	ハミルトン
universe	宇宙
actresses	女優
aid	扶助
aid	援助
folk	フォーク
dan	ダン
dan	dan
khan	ハーン
khan	カーン
baby	ベイビー
baby	赤ちゃん
denmark	デンマーク
tokyo	東京
anne	アン
interior	内部
interior	内装
interior	内面
interior	インテリア
weather	天候
weather	天気
weather	気象
achieved	達成
douglas	ダグラス
portugal	ポルトガル
bands	バンド
audio	音声
audio	オーディオ
audio	audio
valid	有効
lane	レーン
lane	車線
domestic	国内
ali	アリー
ali	アリ
ali	ali
equivalent	同等
christ	キリスト
ending	エンディング
partner	パートナー
romania	ルーマニア
aviation	航空
failure	故障
failure	失敗
knight	騎士
knight	ナイト
nominations	ノミネート
hungary	ハンガリー
juan	フアン
mississippi	ミシシッピ
criticism	批評
criticism	評論
criticism	批判
magic	magic
magic	魔法
magic	マジック
gordon	ゴードン
treaty	条約
antonio	アントニオ
motor	モーター
circuit	サーキット
circuit	回路
fuel	燃料
northeast	北東
grounds	根拠
grounds	事由
newspapers	新聞紙
newspapers	新聞
allen	アレン
watch	時計
watch	腕時計
philip	フィリップ
iraq	イラク
ukraine	ウクライナ
parks	公園
applications	アプリケーション
metres	メートル
metres	メーター
agricultural	農業
temperature	気温
temperature	温度
miami	マイアミ
learn	学習
learn	学ぶ
planet	惑星
southwest	南西
truth	真実
truth	真理
clark	クラーク
equal	等しい
equal	イコール
administrator	管理者
administrator	管理人
factory	工場
derived	派生
magazines	雑誌
option	オプション
lincoln	リンカーン
selling	販売
budget	予算
legend	伝説
forum	フォーラム
ryan	ライアン
zero	ゼロ
violence	暴力
samuel	サミュエル
chapel	チャペル
frederick	フレデリック
frederick	フリードリヒ
museums	美術館
museums	博物館
resistance	抵抗
resistance	レジスタンス
tim	ティム
tim	tim
engines	エンジン
device	デバイス
device	機器
skills	スキル
cleveland	クリーブランド
agriculture	農業
signal	シグナル
signal	信号
reform	改革
reform	革新
reform	リフォーム
managers	マネージャー
managers	マネージャ
amateur	アマチュア
gene	遺伝子
gene	ジーン
montreal	モントリオール
entrance	入学
entrance	玄関
entrance	入口
entrance	入り口
path	パス
moore	ムーア
increasing	増加
mathematics	数学
canal	運河
dublin	ダブリン
pittsburgh	ピッツバーグ
blog	ブログ
alex	alex
alex	アレックス
authors	作家
authors	著者
authors	作者
paintings	絵画
scholars	学者
controversy	論争
josé	ホセ
conservation	保全
marie	マリー
readers	読者
readers	リーダー
violation	違反
offices	オフィス
opportunity	好機
opportunity	機会
cycle	サイクル
golf	ゴルフ
andy	アンディ
indonesia	インドネシア
sell	売る
diocese	教区
malaysia	マレーシア
finland	フィンランド
lawyer	弁護士
seattle	シアトル
runner	ランナー
crisis	危機
matt	マット
hollywood	ハリウッド
reaction	反応
reaction	リアクション
medals	メダル
reader	読者
reader	リーダー
lawrence	ローレンス
pattern	パターン
atlanta	アトランタ
voting	投票
baltimore	ボルチモア
baron	男爵
pan	パン
fantasy	ファンタジー
duty	義務
chair	いす
chair	チェア
chair	椅子
scenes	シーン
scenes	場面
opposite	反対
anna	アナ
anna	アンナ
billy	ビリー
kent	ケント
kelly	ケリー
shooting	射撃
jordan	ヨルダン
jordan	ジョーダン
dictionary	辞書
dictionary	辞典
bangladesh	バングラデシュ
bot	bot
bot	ボット
lands	土地
scheduled	予定
teachers	教員
teachers	教師
advertising	広告
maine	メイン
retirement	退職
dam	ダム
blocks	ブロック
las	ラス
las	las
discovery	ディスカバリー
discovery	発見
hampshire	ハンプシャー
pierre	ピエール
facts	事実
frame	フレーム
script	脚本
script	スクリプト
camera	カメラ
assistance	援助
underground	地下
underground	地下鉄
beautiful	美しい
beautiful	ビューティフル
jane	ジェーン
classification	分類
tool	ツール
tool	工具
tool	道具
bytes	バイト
ross	ロス
russell	ラッセル
citations	引用
venues	会場
mail	郵便
mail	メール
jeff	ジェフ
emergency	緊急
mode	モード
christopher	クリストファー
investment	投資
session	セッション
aspects	側面
reduce	減らす
trophy	トロフィー
walk	歩き
walk	ウォーク
walk	歩行
walk	歩く
walk	徒歩
dakota	ダコタ
bush	ブッシュ
coal	石炭
inhabitants	住民
gary	ゲーリー
gary	ギャリー
gary	ゲイリー
error	エラー
cable	電線
cable	ケーブル
accident	アクシデント
accident	事故
patients	患者
satellite	サテライト
satellite	衛星
johnny	ジョニー
twin	ツイン
twin	双生児
twin	双子
islam	イスラム教
routes	路線
routes	ルート
ministers	大臣
ministers	公使
wine	ワイン
carlos	カルロス
rio	リオ
saturday	土曜日
guess	推測
sarah	サラ
swimming	スイミング
swimming	競泳
swimming	水泳
edinburgh	エディンバラ
harris	ハリス
dallas	ダラス
files	ファイル
courses	コース
marketing	マーケティング
plane	飛行機
victor	ヴィクター
victor	ビクター
ages	年齢
neighborhood	近所
neighborhood	近隣
matters	事項
admins	管理者
admins	管理人
nova	ノヴァ
nova	新星
chile	チリ
scholar	学者
liverpool	リヴァプール
liverpool	リバプール
hero	ヒーロー
designer	デザイナー
movies	映画
pool	プール
collections	コレクション
driving	運転
fly	fly
fly	ハエ
fly	フライ
fly	飛ぶ
ian	イアン
adams	アダムズ
adams	アダムス
collaboration	コラボレーション
collaboration	コラボ
margaret	マーガレット
kennedy	ケネディ
bible	聖書
instrument	計器
instrument	道具
instrument	楽器
random	ランダム
mentions	言及
mentions	mentions
drivers	ドライバ
drivers	ドライバー
differences	差異
differences	違い
differences	差分
venue	会場
vocal	ボーカル
element	要素
element	元素
element	エレメント
illegal	違法
stewart	スチュワート
roof	屋上
roof	屋根
leagues	リーグ
prisoners	囚人
nelson	ネルソン
