year	mwaka
wife	mke
rain	mvua
rock	mwamba
oil	mafuta
universe	ulimwengu
hospital	hospitali
square	mraba
squared	mraba
hotel	hoteli
western	magharibi
commerce	biashara
mother	mama
portugal	ureno
theory	nadharia
mirror	kioo
assistant	msaidizi
netherlands	uholanzi
structure	muundo
mainland	bara
continent	bara
easy	rahisi
tea	chai
child	mtoto
normal	kawaida
night	usiku
passenger	abiria
snake	nyoka
purple	zambarau
ear	sikio
tree	mti
federation	shirikisho
kilogram	kilo
write	andika
geography	jiografia
ginger	tangawizi
secret	siri
transportation	usafiri
back	nyuma
size	ukubwa
top	juu
today	leo
bone	mfupa
tomb	kaburi
grave	kaburi
monday	jumatatu
health	afya
worker	mfanyakazi
antarctica	antaktika
eastern	mashariki
museum	makumbusho
dialogue	mazungumzo
ask	uliza
accident	ajali
angel	malaika
storm	dhoruba
rocket	roketi
elephant	tembo
sheep	kondoo
vehicle	gari
may	mei
user	mtumiaji
invasion	uvamizi
blood	damu
department	idara
sweat	jasho
proportion	uwiano
idol	sanamu
side	upande
they	wao
kingdom	ufalme
greece	ugiriki
forty	arobaini
bird	ndege
gun	bunduki
read	soma
tribe	kabila
step	hatua
knife	kisu
dog	mbwa
virus	virusi
rival	mpinzani
opponent	mpinzani
soup	supu
challenge	changamoto
map	ramani
daughter	binti
cat	paka
dialect	lahaja
trade	biashara
style	mtindo
here	hapa
victory	ushindi
queen	malkia
food	chakula
factory	kiwanda
library	maktaba
especially	hasa
cross	msalaba
faith	imani
belief	imani
civilization	ustaarabu
case	kesi
ink	wino
disease	ugonjwa
psychology	saikolojia
april	aprili
protein	protini
condition	hali
tooth	jino
chief	mkuu
weight	uzito
house	nyumba
foundation	msingi
teacher	mwalimu
fifty	hamsini
contract	mkataba
kiss	busu
volcano	volkano
foot	mguu
device	kifaa
comment	maoni
olympic	olimpiki
pure	safi
cold	baridi
marriage	ndoa
drum	ngoma
latin	kilatini
husband	mume
importance	umuhimu
medicine	dawa
merchant	mfanyabiashara
accomplishments	mafanikio
october	oktoba
sugar	sukari
wall	ukuta
colour	rangi
substance	dutu
self	binafsi
glass	kioo
triangle	pembetatu
pope	papa
address	anwani
august	agosti
expensive	ghali
march	machi
austria	austria
grandfather	babu
finally	hatimaye
knot	fundo
february	februari
july	julai
constitution	katiba
abdomen	tumbo
governor	gavana
communication	mawasiliano
adviser	mshauri
patient	mgonjwa
plot	njama
protest	maandamano
middle	katikati
million	milioni
sound	sauti
voice	sauti
ton	tani
september	septemba
june	juni
college	chuo
australia	australia
leader	kiongozi
telephone	simu
mayor	meya
meat	nyama
venom	sumu
poison	sumu
weak	dhaifu
mathematics	hisabati
saturday	jumamosi
december	desemba
darkness	giza
candidate	mgombea
nose	pua
inch	inchi
christ	kristo
office	ofisi
announcement	tangazo
mark	alama
better	bora
welfare	ustawi
leopard	chui
sunday	jumapili
tennis	tenisi
sister	dada
philosophy	falsafa
lawful	halali
hare	sungura
rabbit	sungura
guitar	gitaa
chain	mnyororo
november	novemba
enemy	adui
popular	maarufu
salt	chumvi
lion	simba
try	jaribu
attempt	jaribu
sixty	sitini
egg	yai
crocodile	mamba
scientist	mwanasayansi
below	chini
oxygen	oksijeni
memory	kumbukumbu
fox	mbweha
wisdom	hekima
band	bendi
bell	kengele
calendar	kalenda
coffee	kahawa
chest	kifua
window	dirisha
evening	jioni
binoculars	darubini
telescope	darubini
pistol	bastola
lip	mdomo
price	bei
copper	shaba
symbol	ishara
forever	milele
tactic	mbinu
seventy	sabini
lamp	taa
milk	maziwa
seed	mbegu
eighty	themanini
listen	sikiliza
ladder	ngazi
diameter	kipenyo
founder	mwanzilishi
geology	jiolojia
leg	mguu
air	hewa
personally	binafsi
cycle	mzunguko
generation	kizazi
parallel	sambamba
hectare	hekta
front	mbele
poet	mshairi
paper	karatasi
flood	mafuriko
gender	jinsia
boundary	mpaka
pig	nguruwe
whale	nyangumi
tongue	ulimi
korean	kikorea
mosque	msikiti
hurricane	kimbunga
justice	haki
goods	bidhaa
pencil	kalamu
rubbish	takataka
garbage	takataka
fortress	ngome
palestine	palestina
laboratory	maabara
rear	nyuma
unless	isipokuwa
gospel	injili
possibility	uwezekano
appearance	muonekano
sudan	sudan
jail	jela
prison	jela
inheritance	urithi
painter	mchoraji
newspaper	gazeti
waist	kiuno
barrel	pipa
judgment	hukumu
verdict	hukumu
blow	pigo
ninety	tisini
bottle	chupa
socialism	ujamaa
senior	mwandamizi
chicken	kuku
helicopter	helikopta
bed	kitanda
bag	mfuko
category	kategoria
resurrection	ufufuo
pity	huruma
holiday	likizo
vacation	likizo
interview	mahojiano
extra	ziada
hell	kuzimu
pearl	lulu
finance	fedha
battery	betri
grape	zabibu
boss	bosi
engineer	mhandisi
usage	matumizi
exercise	mazoezi
nitrogen	nitrojeni
homosexuality	ushoga
emotion	hisia
duck	bata
face	uso
open	fungua
fraction	sehemu
chlorine	klorini
property	mali
budget	bajeti
statue	sanamu
mist	ukungu
fog	ukungu
friday	ijumaa
appeal	rufaa
witch	mchawi
amount	kiasi
fork	uma
gulf	ghuba
bay	ghuba
equator	ikweta
except	isipokuwa
promise	ahadi
tax	kodi
always	daima
spider	buibui
diamond	almasi
glue	gundi
pornography	ponografia
never	kamwe
soil	udongo
orange	machungwa
customer	mteja
frog	chura
millennium	milenia
shoulder	bega
arm	mkono
senate	seneti
cotton	pamba
diplomat	mwanadiplomasia
risk	hatari
flame	moto
excellence	ubora
fat	mafuta
solution	suluhisho
beauty	uzuri
afraid	hofu
room	chumba
dam	bwawa
sweet	tamu
speech	hotuba
line	mstari
pipeline	bomba
pipe	bomba
path	njia
logic	mantiki
concrete	saruji
embassy	ubalozi
anger	hasira
defect	kasoro
suppression	ukandamizaji
islam	uislamu
rebellion	uasi
account	akaunti
bahrain	bahrain
humour	ucheshi
renovation	ukarabati
neck	shingo
jaw	taya
holy	takatifu
bee	nyuki
bowl	bakuli
level	kiwango
delegation	ujumbe
tomorrow	kesho
verb	kitenzi
range	masafa
spear	mkuki
liver	ini
daytime	mchana
hydrogen	hidrojeni
hat	kofia
census	sensa
opera	opera
choir	kwaya
behind	nyuma
wedding	harusi
tuesday	jumanne
sentence	sentensi
bread	mkate
apostle	mtume
needle	sindano
vegetable	mboga
lightning	umeme
camera	kamera
christmas	krismasi
topic	mada
vocabulary	msamiati
journey	safari
manufacturer	mtengenezaji
accounting	uhasibu
angola	angola
curse	laana
fishing	uvuvi
bicycle	baiskeli
motorcycle	pikipiki
missile	kombora
moth	nondo
grammar	sarufi
farm	shamba
torch	mwenge
burden	mzigo
accuracy	usahihi
lecturer	mhadhiri
umbrella	mwavuli
plastic	plastiki
january	januari
petrol	petroli
gasoline	petroli
lieutenant	luteni
injection	sindano
beam	boriti
prisoner	mfungwa
shadow	kivuli
detention	kizuizini
nursing	uuguzi
slightly	kidogo
finger	kidole
ruler	mtawala
employment	ajira
width	upana
dictionary	kamusi
hormone	homoni
bucket	ndoo
slave	mtumwa
companion	mwenzi
loan	mkopo
entrepreneurship	ujasiriamali
smile	tabasamu
historian	mwanahistoria
pyramid	piramidi
geometry	jiometri
thickness	unene
compassion	huruma
hostage	mateka
auction	mnada
roof	paa
conspiracy	njama
tomato	nyanya
cube	mchemraba
radio	redio
canal	mfereji
thursday	alhamisi
adam	adamu
sales	mauzo
stomach	tumbo
cave	pango
sample	sampuli
juice	juisi
truck	lori
wednesday	jumatano
critic	mkosoaji
urine	mkojo
pillar	nguzo
philosopher	mwanafalsafa
correction	sahihi
quote	nukuu
heir	mrithi
quarter	robo
down	chini
banana	ndizi
libya	libya
rope	kamba
smooth	laini
biology	biolojia
button	kitufe
foam	povu
shirt	shati
diabetes	kisukari
murder	mauaji
moses	musa
patrol	doria
cake	keki
tsunami	tsunami
marble	marumaru
doubt	shaka
circuit	mzunguko
plural	wingi
hinduism	uhindu
shortage	uhaba
conviction	imani
distant	mbali
motivation	motisha
sum	jumla
expenses	matumizi
pneumonia	nimonia
sauce	mchuzi
nephew	mpwa
chronic	sugu
chromosome	kromosomu
pillow	mto
wage	mshahara
eternity	milele
clean	safi
scarce	nadra
goat	mbuzi
pottery	ufinyanzi
demonstration	maandamano
calf	ndama
mosquito	mbu
compensation	fidia
pronunciation	matamshi
litre	lita
warmth	joto
coin	sarafu
soap	sabuni
ark	safina
whip	mjeledi
oath	kiapo
dictatorship	udikteta
rubber	mpira
teachings	mafundisho
stem	shina
clock	saa
argument	hoja
accountant	mhasibu
celebration	sherehe
yesterday	jana
literal	halisi
license	leseni
collaboration	ushirikiano
yoga	yoga
deacon	shemasi
karate	karate
kidney	figo
hook	ndoano
perfume	manukato
clinic	kliniki
semester	muhula
delete	futa
mineral	madini
peanut	karanga
corner	kona
opposition	upinzani
rudder	usukani
dove	njiwa
disciple	mwanafunzi
noah	nuhu
sticky	nata
shade	kivuli
guinea	guinea
payments	malipo
grandchild	mjukuu
craftsman	fundi
vinegar	siki
judaism	uyahudi
millet	mtama
percent	asilimia
stairs	ngazi
barrier	kizuizi
orphan	yatima
magician	mchawi
greek	kigiriki
loneliness	upweke
sunflower	alizeti
fill	jaza
kenya	kenya
pomegranate	komamanga
politician	mwanasiasa
senegal	senegal
tunisia	tunisia
sodium	sodiamu
asylum	kimbilio
refuge	kimbilio
aids	ukimwi
wizard	mchawi
mushroom	uyoga
portuguese	kireno
spoon	kijiko
snail	konokono
honey	asali
flaw	dosari
alive	hai
clove	karafuu
beard	ndevu
horn	pembe
ceiling	dari
classroom	darasa
basket	kikapu
superstition	ushirikina
stroke	kiharusi
uniform	sare
hammer	nyundo
potassium	potasiamu
togo	togo
owl	bundi
adjective	kivumishi
meaning	maana
vitamin	vitamini
gaza	gaza
lesson	somo
taste	ladha
toilet	choo
hunger	njaa
tobacco	tumbaku
crow	kunguru
virgin	bikira
aggressor	mchokozi
shoe	kiatu
trousers	suruali
pants	suruali
feast	karamu
banquet	karamu
biscuit	biskuti
sushi	sushi
treasure	hazina
coconut	nazi
easter	pasaka
piracy	uharamia
artery	ateri
dignity	heshima
singular	umoja
fax	faksi
fiancée	mchumba
surprise	mshangao
genesis	mwanzo
naked	uchi
nude	uchi
stranger	mgeni
fame	umaarufu
archaeologist	mwanaakiolojia
ozone	ozoni
namibia	namibia
disability	ulemavu
wheat	ngano
terrorism	ugaidi
penis	uume
privacy	faragha
engineering	uhandisi
acre	ekari
pension	pensheni
impulse	msukumo
vein	mshipa
scent	harufu
centimetre	sentimita
sickle	mundu
cliff	mwamba
crust	ukoko
artisan	fundi
tenant	mpangaji
tempest	dhoruba
nigeria	nigeria
mistress	bibi
allergy	mzio
carpenter	seremala
winner	mshindi
zinc	zinki
grace	neema
fertilizer	mbolea
semen	shahawa
somalia	somalia
cousin	binamu
count	hesabu
pigeon	njiwa
pumpkin	malenge
magnet	sumaku
psalm	zaburi
psalms	zaburi
fatigue	uchovu
tiredness	uchovu
shock	mshtuko
blanket	blanketi
camel	ngamia
starch	wanga
patriot	mzalendo
notebook	daftari
baptism	ubatizo
suit	suti
widow	mjane
throat	koo
flour	unga
refrigerator	jokofu
tension	mvutano
bench	benchi
disk	diski
asthma	pumu
eve	hawa
anxiety	wasiwasi
chimpanzee	sokwe
surplus	ziada
condolences	rambirambi
cough	kikohozi
fiancé	mchumba
cereal	nafaka
quarrel	ugomvi
menu	menyu
soda	soda
treasury	hazina
luke	luka
ghana	ghana
vagina	uke
cigarette	sigara
anus	mkundu
forecast	utabiri
luck	bahati
shelf	rafu
syphilis	kaswende
remember	kumbuka
lamb	mwanakondoo
necklace	mkufu
slowly	polepole
announcer	mtangazaji
donkey	punda
malaria	malaria
citizenship	uraia
syntax	sintaksia
cholera	kipindupindu
performance	utendaji
compass	dira
tent	hema
prostitution	ukahaba
correctness	usahihi
saliva	mate
shilling	shilingi
shepherd	mchungaji
moderately	kiasi
gabon	gabon
transformer	transfoma
cricket	kriketi
liberia	liberia
candle	mshumaa
chemical	kemikali
ransom	fidia
razor	wembe
millionaire	milionea
ostrich	mbuni
locust	nzige
rash	upele
cheese	jibini
famine	njaa
boot	buti
fever	homa
epilepsy	kifafa
italian	kiitaliano
treason	uhaini
insulin	insulini
termite	mchwa
laughter	kicheko
butter	siagi
cohesion	mshikamano
boxer	bondia
cheek	shavu
proverbs	methali
foreskin	govi
fisherman	mvuvi
sock	soksi
measles	surua
giraffe	twiga
shorts	kaptula
lust	tamaa
barley	shayiri
colonialism	ukoloni
handkerchief	leso
priority	kipaumbele
brass	shaba
creativity	ubunifu
quarantine	karantini
dirty	chafu
circumcision	tohara
surgery	upasuaji
inferior	duni
cucumber	tango
looting	uporaji
mustard	haradali
malnutrition	utapiamlo
foreigner	mgeni
pregnancy	mimba
shelter	kimbilio
stick	fimbo
buyer	mnunuzi
amulet	hirizi
generator	jenereta
stove	jiko
fireplace	jiko
barber	kinyozi
