年	taon
地理	geographic
地理	heograpiya
姜	kang
姜	jiang
姜	luya
运输	transportasyon
柏林	berlin
骨	bones
骨	buto
加州	california
星期一	lunes
海洋	karagatan
机会	pagkakataon
错误	pagkakamali
错误	mali
身高	taas
工人	manggagawa
轻	liwanag
轻	lighter
能量	enerhiya
太平	taiping
中山	zhongshan
山西	shanxi
南极洲	antarctica
南极洲	antartiko
东部	silangan
东部	silangang
博物馆	museo
阶段	phase
阶段	phases
阶段	yugto
阶段	entablado
江西	jiangxi
薛	xue
事故	aksidente
天使	angels
天使	anghel
表面	ibabaw
风暴	bagyo
定义	definition
定义	tukuyin
定义	kahulugan
火箭	rockets
火箭	rocket
象	elepante
明星	bituin
明星	stars
匈牙利	hungary
匈牙利	hungarian
车辆	sasakyan
京都	kyoto
上午	umaga
河北	hebei
冯	feng
同盟	league
同盟	alyansa
同盟	allies
狼	lobo
比例	ratio
比例	proporsyon
比例	pantay
偶像	idol
它们	sila
廖	liao
冬	taglamig
设施	pasilidad
伊朗	iran
伊朗	iranian
上海市	shanghai
莫斯科	moscow
王国	kaharian
王国	lupain
深度	lalim
高雄	kaohsiung
湖北	hubei
四十	apatnapu
基因	gene
基因	genes
鸟	ibon
鸟	birds
枪	baril
意大利	italya
意大利	italian
成都	chengdu
部落	tribo
部落	tribal
部落	tribes
帮助	tulong
教会	simbahan
教会	iglesia
记者	mamamahayag
记者	reporter
凤	phoenix
方便	maginhawa
挪威	norwegian
挪威	norway
步	hakbang
刀	tabak
刀	kutsilyo
太子	prinsipe
狗	aso
国会	parlyamento
国会	kongreso
病毒	virus
富士	fuji
阿根廷	argentina
广州	guangzhou
广东	guangdong
广东	kanton
棒球	baseball
质量	mass
质量	kalidad
化石	fossils
化石	fossil
波兰	poland
部长	ministro
羽毛球	badminton
几乎	halos
阿拉	allah
玲	ling
例子	halimbawa
月球	lunar
月球	buwan
地图	mapa
地图	maps
杭州	hangzhou
殖民地	kolonya
原子	atoms
原子	atomic
原子	atom
猫	pusa
日文	hapon
特里	terry
犯罪	krimen
公爵	duke
私人	pribado
软件	software
俱乐部	club
身体	katawan
园	hardin
生于	ipinanganak
长度	haba
胜利	manalo
胜利	tagumpay
胜利	pagtatagumpay
天皇	emperador
舞台	arena
舞台	entablado
食物	pagkain
厂	planta
厂	pabrika
巷	lane
巷	makipot
地铁	subway
地铁	kalakhang
瓜	melon
花园	hardin
实验	eksperimento
实验	ekonomiks
课程	kurso
课程	kurikulum
海南	hainan
十字	krus
赏	gantimpala
安徽	anhui
路易	louis
冬季	taglamig
捷运	mrt
捷运	kalakhang
机器	makina
机器	machine
墨	tinta
英里	milya
心理	sikolohikal
心理	sikolohiya
心理	mental
数位	digital
马来西亚	malaysia
蛋白	protina
蛋白	proteins
苏格兰	scotland
戏剧	drama
戏剧	sinehan
戏剧	tanghalan
牙	ngipin
可靠	maaasahan
芝加哥	chicago
女人	babae
资源	mapagkukunan
基金会	pundasyong
基金会	pundasyon
老师	guro
合约	kontrata
莲	lotus
莲	lian
泰国	thailand
火山	bulkan
庙	templo
脚	talampakan
脚	paa
现象	phenomena
现象	kababalaghan
早上	umaga
商品	produkto
商品	kalakal
商品	paninda
伊拉克	iraq
蟹	alimango
农业	agrikultura
农业	pagsasaka
舞蹈	sayaw
舞蹈	sayawan
犬	aso
犬	canine
成本	gastos
爱尔兰	intsik
爱尔兰	ireland
冰川	glacier
冰川	glaciers
拉丁	latin
邵	shao
邵	shaw
丈夫	asawa
重要性	kahalagahan
红色	pula
十月	oktubre
金属	metal
金属	metals
金属	metallic
糖	kendi
糖	asukal
能源	enerhiya
知识	kaalaman
谭	tam
谭	tan
律师	abogado
律师	abugado
年份	taon
物质	sangkap
福州	fuzhou
国民党	kuomintang
国民党	kmt
港口	daungan
港口	harbour
气	gas
乔治	george
共和	republican
共和	republika
教宗	papa
角度	anggulo
角度	angulo
身分	pagkakakilanlan
慕尼黑	munich
安娜	anna
荣誉	karangalan
荣誉	advertise
四个	apat
三月	marso
奥地利	austria
祖父	lolo
龟	pagong
龟	tortoise
医生	doktor
教师	guro
教师	teachers
阿里	ali
亲王	prinsipe
台中	taichung
七月	hulyo
驾驶	driver
驾驶	magmaneho
驾驶	nagmamaneho
恐龙	dinosaur
恐龙	dinosaurs
通讯	komunikasyon
通讯	newsletter
商店	shop
商店	tindahan
司马	sima
顾问	consultant
顾问	adviser
患者	pasyente
抗议	protesta
理查德	richard
蜥	butiki
福特	ford
游泳	lumangoy
游泳	lumalangoy
九月	setyembre
九月	sept
波音	boeing
工厂	planta
工厂	pabrika
澳大利亚	australia
迈	mai
苹果	apple
苹果	mansanas
巴基斯坦	pakistan
肉	karne
会员	miyembro
任天堂	nintendo
丹麦	denmark
丹麦	danish
毒	kamandag
毒	lason
哥伦比亚	colombia
沿海	baybay
沿海	baybayin
戴维	david
沿岸	baybayin
数学	matematikal
数学	matematika
数学	math
星期六	sabado
朝日	asahi
铃木	suzuki
南昌	nanchang
救援	pagsagip
磅	kampong
磅	lbs
磅	libra
磅	pounds
开幕	pagbubukas
领土	teritoryal
领土	teritoryo
华盛顿	washington
竞争	makipagkumpetensya
竞争	pagalingan
竞争	competitive
竞争	paligsahan
智利	chile
压力	presyon
压力	stress
平衡	balanseng
平衡	balanse
候选人	candidates
候选人	kandidato
跳	tumalon
标题	header
标题	titulo
标题	caption
标题	pamagat
标题	headings
巴赫	bach
想法	ideya
想法	thoughts
维多利亚	victoria
英尺	talampakan
英尺	paa
兴趣	interes
兴趣	interesado
鼻	ilong
差异	pagkakaiba
单元	modules
单元	module
单元	units
单元	yunit
英吋	pulgada
温度	temperatura
温度	temp
阿富汗	afghanistan
援助	aid
援助	tulong
穆斯林	muslim
每周	lingguhan
冒险	mapangahas
冒险	pakikipagsapalaran
冒险	adventures
山东	shandong
容量	kapasidad
平民	sibilyan
岩石	bato
道德	moral
道德	moralidad
查理	charlie
星期日	linggo
网球	tennis
建筑物	gusali
古巴	cuba
哲学	pilosopiya
方程	equation
裴	bae
裴	pei
兔	bare
兔	kuneho
方程式	formula
方程式	equation
链	kadena
迷你	mini
迷你	munti
十一月	nobyembre
滑	slide
滑	madulas
滑	slip
融合	integration
融合	fusion
姓名	pangalan
原理	prinsipyo
原理	doktrina
彗星	kometa
彗星	buntala
敌人	kaaway
胺	amine
日本人	hapon
盐	asin
狮	leon
鱼类	isda
勋章	medalya
勋章	medals
大桥	tulay
佐藤	sato
芬兰	finland
鳄	buwaya
琼	joan
星期	linggo
竣工	pagkumpleto
斯洛伐克	slovakia
山地	bundok
氧	oxygen
立陶宛	lithuania
记忆	alaala
记忆	memorya
座位	upo
座位	upuan
田中	tanaka
合同	kontrata
楠	nan
人气	popular
人气	kasikatan
哈利	harry
雅典	athens
姓氏	apelyido
砂	buhangin
利物浦	liverpool
比利时	belgium
智慧	katalinuhan
智慧	karunungan
乐队	banda
乐队	bands
信徒	mananampalataya
读者	mambabasa
读者	reader
指数	index
指数	exponential
指数	indices
猴	unggoy
种族	races
种族	lahi
历	kalendaryo
眼睛	mata
星座	konstelasyon
讯息	mensahe
窗	windows
窗	bintana
主权	soberanya
月份	buwan
轴	poste
轴	axis
价格	presyo
铜	tanso
铜	bronze
事实	katotohanan
福冈	fukuoka
南斯拉夫	yugoslav
南斯拉夫	yugoslavia
郝	hao
缅甸	burma
缅甸	myanmar
昆明	kunming
周刊	lingguhan
乐园	paraiso
米兰	milan
德州	texas
威尼斯	venice
柬埔寨	cambodia
希特勒	hitler
处理器	processor
帮忙	tulong
超人	superman
价	presyo
瓦尔	val
公寓	flat
公寓	apartment
下载	download
狮子	leon
狮子	lions
黄色	dilaw
直径	diameter
拱	arko
宝贝	baby
创办人	tagapagtatag
多伦多	toronto
桓	huan
桓	hwan
腿	binti
腿	hita
横滨	yokohama
炸弹	bomba
空气	hangin
冲绳	okinawa
慢	mabagal
一代	henerasyon
论坛	forums
论坛	forum
祖先	ancestral
祖先	ninuno
广岛	hiroshima
三星	samsung
金星	venus
病人	pasyente
摇滚	bato
织田	oda
气候	klima
频率	dalas
品质	kalidad
液	likido
诗人	makata
办法	paraan
罗伯特	robert
弦	kuwerdas
弦	string
青海	qinghai
珠海	zhuhai
世代	henerasyon
考古	archaeological
考古	arkeolohiya
王位	trono
资金	pondo
神奈川	kanagawa
忍者	ninja
忍者	ninjas
机制	mekanismo
凤凰	phoenix
输出	output
庆祝	ipinagdiriwang
庆祝	magdiwang
庆祝	pagdiriwang
性别	kasarian
性别	pakikipagtalik
夏威夷	hawaii
夏威夷	hawaiian
边界	borders
边界	hangganan
边界	boundary
墙	dingding
墙	pader
微软	microsoft
鲸	whales
鲸	balyena
舌	dila
基督徒	christian
基督徒	kristiyano
曼谷	bangkok
加利福尼亚	california
艇	bangka
木星	jupiter
客家	hakka
海峡	kipot
海峡	straits
海峡	channel
她们	sila
孔子	confucius
音乐会	konsiyerto
要塞	muog
要塞	kuta
道教	taoismo
繁殖	breeding
繁殖	lahi
繁殖	pagpaparami
秘鲁	peru
福音	ebanghelyo
马德里	madrid
可能性	probabilidad
可能性	posibilidad
购物	shop
购物	pamimili
重庆	chongqing
天气	panahon
加里	gary
气体	gas
喇嘛	lama
苏丹	sudan
钢琴	piano
边境	borders
边境	hangganan
边境	frontier
遗产	pamana
遗产	legacy
遗产	mana
眉	kilay
股权	equity
解放军	sla
解放军	pla
泰山	tarzan
玩具	toy
玩具	laruan
画家	painters
画家	pintor
腰	baywang
约克	york
西蒙	simon
罗马尼亚	romania
案例	case
案例	kaso
雷达	radar
排球	volleyball
纳粹	nazi
航行	nabigasyon
航行	paglalayag
吹	suntok
癌	carcinoma
癌	kanser
瓶	bote
领地	teritoryo
辐射	radioactive
辐射	radiation
生态	ekolohiya
伙伴	partner
伙伴	partners
床	kama
袋	supot
袋	bag
踢	sipa
江苏	jiangsu
哈佛	harvard
吉尔	jill
类别	kategorya
类别	pasok
类别	klase
边缘	gilid
边缘	borderline
边缘	fringe
视觉	biswal
视觉	pangitain
军人	sundalo
加藤	kato
札幌	sapporo
军官	opisyal
黎巴嫩	lebanese
黎巴嫩	lebanon
比率	ratio
武力	puwersa
三重	triple
山谷	lambak
牛津	oxford
协定	kasunduan
波士顿	boston
地狱	impiyerno
参数	parameter
参数	argumento
藏族	tibetan
来宾	bisita
来宾	panauhin
广西	guangxi
财务	pinansyal
财务	pananalapi
葡萄	ubas
灵魂	kaluluwa
工程师	inhinyero
工程师	engineer
祖母	lola
吋	pulgada
神户	kobe
癌症	kanser
奇怪	kakaiba
氮	nitrogen
冈山	okayama
桂林	guilin
脸	mukha
交叉	krus
交叉	crossover
键	keys
键	susi
键	bono
可汗	khan
雅各布	jacob
敌	kaaway
预算	badyet
闪	flash
雕像	rebulto
叙利亚	syria
叙利亚	syrian
西贡	saigon
德文	aleman
星期五	biyernes
德语	aleman
数据库	database
金额	halaga
佛山	foshan
叉	tinidor
希尔	burol
赤道	ekwador
金色	golden
金色	ginto
理性	dahilan
理性	talino
承诺	pangako
吉田	yoshida
童年	pagkabata
建筑师	arkitekto
蜘蛛	gagamba
周五	biyernes
三菱	mitsubishi
温哥华	vancouver
混乱	pagkalito
混乱	nagkagulo
大堂	lobby
校区	campus
马丁	martin
真理	katotohanan
胶	pandikit
胶	gum
胶	gel
渡边	watanabe
股东	shareholder
土壤	lupa
井上	inoue
牙齿	ngipin
客户	customer
客户	kliyente
诺贝尔	nobel
火车	tren
蛙	palaka
肩	balikat
武田	takeda
头衔	pamagat
透明	transparent
透明	transparency
大理	dali
混凝土	kongkreto
秋季	taglagas
同事	kasamahan
同事	katrabaho
棉	bulak
外交官	diplomat
底部	ibaba
风险	panganib
云南	yunnan
轰炸	bombings
轰炸	pambobomba
烈士	martir
亚美尼亚	armenia
科尔	cole
卓越	kahusayan
屏幕	screen
俄亥俄州	ohio
溶液	solusyon
昵称	palayaw
暗示	pahiwatig
星星	bituin
星星	stars
讨伐	krusada
石川	ishikawa
界面	interface
星云	nebula
配乐	soundtrack
中型	katamtaman
四名	apat
拉丁文	latin
电信	telecom
电信	telekomunikasyon
被俘	nakunan
灌木	palumpong
麦可	michael
土星	saturn
底特律	detroit
川崎	kawasaki
岚	arashi
岚	lan
路径	pathway
路径	landas
路径	pathways
逻辑	lohikal
逻辑	lohika
新潟	niigata
范	van
范	phạm
范	fan
宫崎	miyazaki
珍妮	jenny
电机	motor
图案	pattern
昆虫	insekto
昆虫	barang
运动场	palaruan
运动场	stadium
卡洛斯	carlos
卡片	baraha
卡片	card
陕西	shaanxi
货运	cargo
货运	kargamento
货运	kargada
水泥	kongkreto
水泥	semento
平壤	pyongyang
教皇	papa
大使馆	embahada
米勒	miller
电讯	telecom
电讯	telekomunikasyon
海盗	pirata
委内瑞拉	venezuela
长野	nagano
男爵	baron
奈良	nara
月亮	buwan
司机	driver
叛乱	kokhba
叛乱	paghihimagsik
梅尔	mel
阶级	klase
账号	account
巴林	bahrain
大气	kapaligiran
大气	atmospheric
流感	trangkaso
绰号	palayaw
幽默	katatawanan
维也纳	vienna
摩洛哥	morocco
颌	panga
奖章	medalya
奖章	medals
枫	maple
地表	ibabaw
光谱	spectral
光谱	spectra
光谱	spectrum
光谱	spectroscopy
业余	amateurs
业余	baguhan
鲨	pating
肯尼迪	kennedy
宽带	broadband
斯通	bato
蜂	bubuyog
稍后	mamaya
代表团	delegasyon
看起来	mukhang
瑶	yao
瑶	mien
场合	okasyon
动词	pandiwa
足利	ashikaga
复仇	vengeance
复仇	paghihiganti
射程	saklaw
茄	solanum
茄	talong
厦门	xiamen
大教堂	katedral
云端	ulap
寸	pulgada
专利	patent
专利	patents
三部曲	trilogy
村落	nayon
发言人	spokesperson
发言人	tagapagsalita
半径	radius
六个	anim
标签	tag
标签	tab
标签	tags
标签	label
肝	atay
传记	biographies
传记	talambuhay
安迪	andy
氢	hydrogen
丰田	toyota
名誉	advertise
名誉	honorary
名誉	reputasyon
名誉	karangalan
光子	mitsuko
光子	photon
千克	kilogramo
千克	kilo
密码	code
密码	password
帽子	sumbrero
帽子	sombrero
腺	gland
腺	glandula
歌剧	opera
冬天	taglamig
霍尔	hall
合唱团	koro
合唱团	chorus
河内	hanoi
面包	tinapay
使徒	apostol
使徒	alagad
使徒	apostolic
巴拉圭	paraguay
兔子	bunny
兔子	kuneho
大洋洲	oceania
针	karayom
针	needle
真空	vacuum
索引	index
候选	kandidato
闪电	kidlat
活塞	piston
电压	boltahe
巧克力	tsokolate
熊本	kumamoto
语音	boses
语音	speech
甲板	deck
甲板	kubyerta
话题	paksa
镑	libra
旗帜	banner
旗帜	bandila
巡洋舰	cruiser
长崎	nagasaki
早晨	umaga
神学	teolohiya
堪萨斯州	kansas
中西部	midwest
中兴	zte
赫尔	hull
接力	relay
随机	random
上田	ueda
海德堡	heidelberg
会计	accounting
会计	accountant
会计	accountancy
义务	obligasyon
海口	haikou
节奏	tempo
节奏	ritmo
多媒体	multimedia
阿曼	oman
阿曼	aman
邮政	post
邮政	postal
秋田	akita
差别	pagkakaiba
筹备	paghahanda
隼	falcon
鼓手	drummer
安哥拉	angola
咒	spell
咒	sumpa
白俄罗斯	belarus
詹姆士	james
钓鱼	pangingisda
自行车	pagbibisikleta
自行车	bike
自行车	bisikleta
浏览器	browser
不丹	bhutan
沙皇	tsar
武汉	wuhan
星际	interstellar
拿破仑	napoleon
丹尼尔	daniel
现金	cash
低音	bass
车道	lane
司长	direktor
约瑟夫	joseph
西门	simon
长江	yangtze
辩论	debate
搭档	partner
夜晚	nights
夜晚	gabi
作物	pananim
作物	crop
桌面	desktop
歧视	diskriminasyon
跳舞	sayaw
跳舞	sayawan
疫苗	bakuna
疫苗	vaccine
干扰	panghihimasok
酒精	alak
伞	payong
本田	honda
限量	limitado
参议员	senador
汽油	petrol
汽油	gas
汽油	gasolina
难民	refugee
科威特	kuwait
中尉	tenyente
禅	zen
教派	sekta
水星	mercury
上野	ueno
囚犯	bilanggo
囚犯	pinalaya
影子	anino
影子	shadow
麒麟	kirin
巴巴	baba
客人	bisita
客人	panauhin
护理	nursing
护理	care
成像	imaging
斗争	pakikibaka
冰岛	iceland
牛奶	gatas
梳	suklay
氏族	angkan
共振	resonance
投影	projection
龚	gong
皇冠	korona
豪华	deluxe
豪华	luho
豪华	marangya
签证	visas
签证	visa
小野	ono
激素	hormone
激素	hormones
墨尔本	melbourne
键盘	keyboards
键盘	keyboard
奴隶	alipin
休闲	paglilibang
休闲	kaswal
休闲	leisure
犯人	bilanggo
犯人	pinalaya
丹佛	denver
阿部	abe
玻利维亚	bolivia
湖人	lakers
徽章	badge
